Estación:       CABORCA,  SON
Operada por:    SMN EMAS
Longitud:       112°26'07"  Latitud: 30°46'29"  Altitud: 188

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
30/01/2018 20:00       105       110     12.27     31.90      30.5        19     992.9       0.0     718.5
30/01/2018 21:00       167       177     12.02     34.70      32.0        18     992.1       0.0     608.8
30/01/2018 22:00       190       202     36.35     70.20      30.4        20     991.7       0.0     457.3
30/01/2018 23:00       192       199     33.86     65.90      27.6        26     991.4       0.0     317.3
31/01/2018 00:00       190       198     27.81     51.40      25.7        26     991.3       0.0      89.3
31/01/2018 01:00       193       195     25.41     40.20      23.0        27     991.4       0.0       1.8
31/01/2018 02:00       190       211     13.44     38.20      20.6        29     991.9       0.0       0.0
31/01/2018 03:00       209       203     10.43     27.40      18.7        32     992.2       0.0       0.0
31/01/2018 04:00       209       211     16.40     29.50      16.7        35     992.6       0.0       0.0
31/01/2018 05:00       240       269     14.37     22.80      14.7        38     992.8       0.0       0.0
31/01/2018 06:00       247       263     14.73     21.50      13.1        40     993.0       0.0       0.0
31/01/2018 07:00       307       353     13.18     25.80      11.6        43     992.7       0.0       0.0
31/01/2018 08:00       296       319      8.83     18.50      11.2        43     992.6       0.0       0.0
31/01/2018 09:00       285       277     10.97     22.20       8.3        45     992.5       0.0       0.0
31/01/2018 10:00       283       295     11.40     16.90       8.0        46     992.2       0.0       0.0
31/01/2018 11:00       275       276     15.17     22.30       7.9        45     992.1       0.0       0.0
31/01/2018 12:00       285       268     11.71     24.60       7.2        42     992.1       0.0       0.0
31/01/2018 13:00       297       297      9.33     18.90       6.7        42     992.4       0.0       0.0
31/01/2018 14:00       290       299     13.67     24.40       7.1        40     992.9       0.0      11.2
31/01/2018 15:00       302       321     10.17     26.10      12.2        34     993.3       0.0     158.7
31/01/2018 16:00       312       323     17.56     38.10      16.7        29     993.7       0.0     372.2
31/01/2018 17:00       356       337     14.98     39.10      20.2        26     993.8       0.0     559.7
31/01/2018 18:00       103       104     18.94     33.40      23.1        25     993.3       0.0     695.3
31/01/2018 19:00       105       103     15.50     34.40      26.2        22     992.2       0.0     718.7
31/01/2018 20:00       169       215     11.39     35.10      29.0        20     991.2       0.0     731.8
31/01/2018 21:00       196       192     27.56     54.80      28.7        21     990.7       0.0     673.3
31/01/2018 22:00       187       196     27.68     51.60      28.4        22     990.4       0.0     507.8
31/01/2018 23:00       195       217     23.75     47.50      27.5        25     990.2       0.0     311.2
01/02/2018 00:00       196       220     18.93     41.90      25.5        28     989.8       0.0     115.8
01/02/2018 01:00       206       211     13.72     25.90      22.6        30     989.8       0.0       2.8
01/02/2018 02:00       210       211     16.05     28.30      20.3        32     990.4       0.0       0.0
01/02/2018 03:00       230       213      5.16     17.80      16.4        37     991.2       0.0       0.0
01/02/2018 04:00       256       258     11.81     24.90      14.9        37     992.1       0.0       0.0
01/02/2018 05:00       265       269     19.01     27.90      12.2        38     992.5       0.0       0.0
01/02/2018 06:00       266       271     18.74     26.00      11.0        36     992.6       0.0       0.0
01/02/2018 07:00       314       342     11.27     24.70      10.5        38     992.6       0.0       0.0
01/02/2018 08:00       274       273     14.83     24.60      10.9        43     992.7       0.0       0.0
01/02/2018 09:00       277       299     17.05     30.40       8.9        38     992.5       0.0       0.0
01/02/2018 10:00       278       277     14.94     25.60       7.7        38     992.5       0.0       0.0
01/02/2018 11:00       307       324     10.84     24.90       7.8        40     992.6       0.0       0.0
01/02/2018 12:00       283       271     15.53     26.80       7.2        40     992.7       0.0       0.0
01/02/2018 13:00       290       298      4.99     32.70       7.0        38     993.3       0.0       0.0
01/02/2018 14:00        22       333      6.24     31.10       7.2        39     994.0       0.0       5.8
01/02/2018 15:00        87        98      8.90     20.20       9.2        36     994.8       0.0     108.2
01/02/2018 16:00        84        89     15.15     33.50      14.4        30     995.2       0.0     329.2
01/02/2018 17:00        63       330     16.03     43.30      20.6        24     995.5       0.0     500.7
01/02/2018 18:00        80        83      6.94     30.50      22.5        23     995.5       0.0     545.5
01/02/2018 19:00       100        89     12.43     28.10      25.5        21     994.9       0.0     593.7
01/02/2018 20:00       163       240      8.70     21.00      27.2        20     994.1       0.0     516.3
01/02/2018 21:00       201       223     16.87     38.10      27.2        21     993.5       0.0     629.7
01/02/2018 22:00       201       203     22.86     42.70      26.5        27     993.3       0.0     499.8
01/02/2018 23:00       203       211     22.57     43.50      25.4        31     993.3       0.0     305.3
02/02/2018 00:00       207       217     23.40     44.60      24.2        32     993.7       0.0     126.8
02/02/2018 01:00       198       203     17.45     33.90      21.6        32     994.3       0.0       5.5
02/02/2018 02:00       204       211     15.82     25.80      19.7        34     995.0       0.0       0.0
02/02/2018 03:00       224       216     16.33     23.80      17.6        36     995.6       0.0       0.0
02/02/2018 04:00       262       265     17.38     24.70      14.9        40     996.1       0.0       0.0
02/02/2018 05:00       283       268     14.60     21.00      13.5        41     996.5       0.0       0.0
02/02/2018 06:00       285       288     13.78     23.50      12.3        41     996.8       0.0       0.0
02/02/2018 07:00       277       275     14.81     21.70      11.4        42     996.8       0.0       0.0
02/02/2018 08:00       278       272     10.12     21.60      10.9        43     996.5       0.0       0.0
02/02/2018 09:00       300       284     12.50     25.00      10.3        43     996.8       0.0       0.0
02/02/2018 10:00       270       269     16.64     27.80      10.3        40     996.6       0.0       0.0
02/02/2018 11:00       279       285     17.02     29.90      11.3        38     996.3       0.0       0.0
02/02/2018 12:00       279       285     16.68     31.90      12.9        34     996.2       0.0       0.0
02/02/2018 13:00       280       292     13.63     26.60      13.1        34     996.6       0.0       0.0
02/02/2018 14:00        28       280      7.77     25.10      13.7        34     997.0       0.0       8.0
02/02/2018 15:00        55        45      8.53     19.80      15.6        32     997.4       0.0      81.3
02/02/2018 16:00        67        73     14.52     40.30      19.7        28     997.7       0.0     211.5
02/02/2018 17:00        20       325      8.72     32.70      21.4        26     997.9       0.0     249.3
02/02/2018 18:00        87        94     12.31     25.80      23.5        25     997.7       0.0     382.0
02/02/2018 19:00        91        98     10.98     26.20      26.9        22     996.9       0.0     527.8
02/02/2018 20:00       176       327      4.14     21.80      29.7        20     995.7       0.0     509.0
02/02/2018 21:00       176       185     14.59     30.70      29.3        20     994.8       0.0     375.8
02/02/2018 22:00       190       202     26.38     50.70      29.8        24     994.5       0.0     494.7
02/02/2018 23:00       188       199     31.90     63.80      29.0        23     994.4       0.0     354.0
03/02/2018 00:00       186       191     29.27     53.40      27.0        24     994.5       0.0     127.2
03/02/2018 01:00       196       193     18.10     35.60      24.3        27     994.7       0.0       3.2
03/02/2018 02:00       203       212     15.91     28.70      22.2        29     995.3       0.0       0.0
03/02/2018 03:00       210       218     16.37     30.20      20.1        32     995.8       0.0       0.0
03/02/2018 04:00       228       237     13.48     22.00      18.9        35     996.3       0.0       0.0
03/02/2018 05:00       260       247     12.02     17.20      17.6        36     996.3       0.0       0.0
03/02/2018 06:00        62       263      1.23     12.70      17.1        37     996.1       0.0       0.0
03/02/2018 07:00        64        89      5.96     10.20      15.3        40     996.0       0.0       0.0
03/02/2018 08:00        49        37      9.06     15.10      14.4        40     995.7       0.0       0.0
03/02/2018 09:00        40        39     12.81     18.90      13.6        39     995.4       0.0       0.0
03/02/2018 10:00        35        29     14.50     20.00      13.1        39     995.1       0.0       0.0
03/02/2018 11:00        27        29     12.70     19.10      13.3        39     995.0       0.0       0.0
03/02/2018 12:00        61        38      8.14     20.20      14.4        39     995.3       0.0       0.0
03/02/2018 13:00        94       123     11.21     19.30      14.2        39     995.3       0.0       0.0
03/02/2018 14:00        62        81     12.32     20.70      13.3        42     995.6       0.0      11.8
03/02/2018 15:00        36        65      7.97     14.50      15.3        41     996.1       0.0      62.5
03/02/2018 16:00       313        39      8.92     23.10      21.4        32     996.5       0.0     282.3
03/02/2018 17:00        77       109      7.87     20.20      23.2        30     996.8       0.0     382.0
03/02/2018 18:00       123       128      9.67     27.90      25.4        27     996.3       0.0     650.0
03/02/2018 19:00       173       179      8.77     23.60      28.2        23     995.3       0.0     668.5
03/02/2018 20:00       197       204     17.94     53.90      28.9        23     993.9       0.0     699.3
03/02/2018 21:00       198       206     31.35     62.40      28.7        26     993.1       0.0     639.7
03/02/2018 22:00       187       206     33.48     63.80      28.4        28     992.5       0.0     488.7
03/02/2018 23:00       190       191     30.40     56.10      27.5        28     992.2       0.0     305.5
04/02/2018 00:00       189       204     28.29     52.60      26.2        25     992.3       0.0     120.3
04/02/2018 01:00       197       196     23.20     47.20      23.8        32     992.8       0.0       4.2
04/02/2018 02:00       202       203     17.99     33.50      20.9        38     993.3       0.0       0.0
